Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
SW6 7BQ,Yes,51.478658,-0.207128,524602,177046,TQ246770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7BS,Yes,51.48037,-0.20794,524541,177235,TQ245772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7BT,Yes,51.480693,-0.207293,524585,177272,TQ245772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7BU,Yes,51.480322,-0.207149,524596,177231,TQ245772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7BW,Yes,51.479738,-0.207806,524552,177165,TQ245771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7BX,Yes,51.480103,-0.20638,524650,177208,TQ246772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7BY,No,51.480919,-0.205628,524700,177300,TQ247772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1994-05-01,1995-07-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001882
SW6 7BZ,No,51.480919,-0.205628,524700,177300,TQ247772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1990-02-01,1990-12-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001882
SW6 7DA,Yes,51.480339,-0.206529,524639,177234,TQ246772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7DB,Yes,51.47988,-0.204704,524767,177186,TQ247771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7DD,No,51.48002,-0.205663,524700,177200,TQ247771,"Munster","Hammersmith and Fulham, unparished area",1983-03-01,1984-12-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001901
SW6 7DE,No,51.480064,-0.208542,524500,177200,TQ245771,"Munster","Hammersmith and Fulham, unparished area",1993-08-01,1996-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001902
SW6 7DG,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2001-12-01,2004-09-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7DH,No,51.47952,-0.203552,524848,177148,TQ248771,"Fulham Broadway","Hammersmith and Fulham, unparished area",1995-01-01,1997-06-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001882
SW6 7DL,Yes,51.479818,-0.208883,524477,177172,TQ244771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7DN,Yes,51.479579,-0.209742,524418,177144,TQ244771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7DP,Yes,51.478994,-0.210888,524340,177077,TQ243770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7DR,No,51.479998,-0.204224,524800,177200,TQ248771,"Fulham Broadway","Hammersmith and Fulham, unparished area",1986-07-01,1990-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001882
SW6 7DS,Yes,51.480547,-0.206622,524632,177257,TQ246772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7DT,Yes,51.4803,-0.200948,525027,177239,TQ250772,"Town","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001953
SW6 7DU,Yes,51.480214,-0.203668,524838,177225,TQ248772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7DW,Yes,51.479391,-0.210412,524372,177122,TQ243771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7DY,Yes,51.479957,-0.20388,524824,177196,TQ248771,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7DZ,Yes,51.479937,-0.204313,524794,177193,TQ247771,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EA,Yes,51.480486,-0.204983,524746,177253,TQ247772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EB,Yes,51.480602,-0.206058,524671,177264,TQ246772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7ED,No,51.480443,-0.206842,524617,177245,TQ246772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,2008-01-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7EE,Yes,51.480657,-0.206719,524625,177269,TQ246772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7EF,Yes,51.480837,-0.206121,524666,177290,TQ246772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EG,Yes,51.480787,-0.20464,524769,177287,TQ247772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EH,Yes,51.481283,-0.204159,524801,177343,TQ248773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EJ,Yes,51.480254,-0.20276,524901,177231,TQ249772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EL,No,51.481729,-0.199836,525100,177400,TQ250773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1986-07-01,1990-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001881
SW6 7EN,Yes,51.480741,-0.200465,525059,177289,TQ250772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EP,Yes,51.480993,-0.200484,525057,177317,TQ250773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1990-07-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EQ,Yes,51.481174,-0.204586,524772,177330,TQ247773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7ER,No,51.483549,-0.201204,525000,177600,TQ250775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1990-02-01,1995-07-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001881
SW6 7ES,No,51.483549,-0.201204,525000,177600,TQ250775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1990-07-01,1995-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001881
SW6 7ET,Yes,51.482455,-0.201996,524948,177477,TQ249774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001881
SW6 7EU,Yes,51.482755,-0.202133,524938,177510,TQ249775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001881
SW6 7EW,Yes,51.480822,-0.199338,525137,177300,TQ251772,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7EX,Yes,51.483699,-0.20163,524970,177616,TQ249776,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001881
SW6 7EY,Yes,51.483325,-0.201847,524956,177574,TQ249775,"Fulham Broadway","Hammersmith and Fulham, unparished area",2001-06-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001881
SW6 7EZ,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2001-12-01,2002-11-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FB,No,51.48119,-0.20687,524613,177328,TQ246773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1996-12-01,2000-07-01,6,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001882
SW6 7FD,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-06-01,2002-05-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FE,No,51.47938,-0.198517,525198,177141,TQ251771,"Town","Hammersmith and Fulham, unparished area",2007-10-01,2019-02-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001953
SW6 7FF,No,51.47938,-0.198517,525198,177141,TQ251771,"Town","Hammersmith and Fulham, unparished area",2000-06-01,2019-02-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001953
SW6 7FG,No,51.48119,-0.20687,524613,177328,TQ246773,"Fulham Broadway","Hammersmith and Fulham, unparished area",2000-06-01,2001-07-01,6,England,2019-11-23,"Postcode sector mean (mainly PO Boxes)",E01001882
SW6 7FH,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-06-01,2001-09-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FJ,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-06-01,2001-09-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FL,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2002-09-01,2002-12-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FN,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-12-01,2001-09-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FP,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-12-01,2003-02-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FQ,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-12-01,2008-06-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FR,No,51.47938,-0.198517,525198,177141,TQ251771,"Town","Hammersmith and Fulham, unparished area",2000-12-01,2019-02-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001953
SW6 7FS,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-12-01,2010-12-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FT,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2000-12-01,2002-05-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FW,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2001-06-01,2002-05-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FX,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2001-06-01,2003-04-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7FY,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2001-06-01,2008-06-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7HA,No,51.482716,-0.205558,524700,177500,TQ246774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,1981-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001879
SW6 7HB,Yes,51.481788,-0.206602,524630,177395,TQ246773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7HD,Yes,51.481438,-0.208431,524504,177353,TQ245773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HE,Yes,51.482988,-0.206253,524651,177529,TQ246775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1997-06-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HF,No,51.483549,-0.201204,525000,177600,TQ250775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,1981-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001881
SW6 7HG,Yes,51.482352,-0.206407,524642,177458,TQ246774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HH,No,51.482716,-0.205558,524700,177500,TQ246774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,1995-07-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001879
SW6 7HJ,Yes,51.483114,-0.206867,524608,177542,TQ246775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HL,Yes,51.483642,-0.207278,524578,177600,TQ245775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HN,No,51.482506,-0.205335,524716,177477,TQ247774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,1999-12-01,8,England,2019-11-23,"Approximate to within 50 metres",E01001879
SW6 7HP,Yes,51.481462,-0.205261,524724,177361,TQ247773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7HQ,Yes,51.482194,-0.206125,524662,177441,TQ246774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HR,Yes,51.480962,-0.205526,524707,177305,TQ247773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7HS,Yes,51.48119,-0.208561,524496,177325,TQ244773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HT,Yes,51.481081,-0.207888,524543,177314,TQ245773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HU,Yes,51.481266,-0.206594,524632,177337,TQ246773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7HW,Yes,51.48156,-0.205805,524686,177371,TQ246773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7HX,Yes,51.481079,-0.206068,524669,177317,TQ246773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001882
SW6 7HY,Yes,51.481825,-0.207234,524586,177398,TQ245773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7HZ,Yes,51.482022,-0.206579,524631,177421,TQ246774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7JA,No,51.481931,-0.205372,524715,177413,TQ247774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,2001-04-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7JB,No,51.48002,-0.205663,524700,177200,TQ247771,"Munster","Hammersmith and Fulham, unparished area",1990-02-01,1992-12-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001901
SW6 7JD,No,51.477346,-0.207208,524600,176900,TQ246768,"Town","Hammersmith and Fulham, unparished area",1992-08-01,1995-07-01,10,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001949
SW6 7JE,Yes,51.477195,-0.208482,524512,176881,TQ245768,"Town","Hammersmith and Fulham, unparished area",1980-01-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001949
SW6 7JF,Yes,51.476721,-0.208644,524502,176828,TQ245768,"Town","Hammersmith and Fulham, unparished area",1980-01-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001949
SW6 7JG,Yes,51.477554,-0.209029,524473,176920,TQ244769,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JH,Yes,51.477888,-0.20857,524504,176958,TQ245769,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JJ,Yes,51.478436,-0.207915,524548,177020,TQ245770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JL,Yes,51.478638,-0.208209,524527,177042,TQ245770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JN,Yes,51.477942,-0.209144,524464,176963,TQ244769,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JP,Yes,51.478419,-0.209744,524421,177015,TQ244770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JQ,Yes,51.477736,-0.20859,524503,176941,TQ245769,"Munster","Hammersmith and Fulham, unparished area",1992-08-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JR,Yes,51.478569,-0.21017,524391,177031,TQ243770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JS,Yes,51.478991,-0.208958,524474,177080,TQ244770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7JT,Yes,51.478828,-0.208288,524521,177063,TQ245770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JU,Yes,51.478775,-0.210119,524394,177054,TQ243770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JW,Yes,51.478231,-0.20919,524460,176995,TQ244769,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001901
SW6 7JX,Yes,51.479079,-0.209977,524403,177088,TQ244770,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7JY,Yes,51.479845,-0.210063,524395,177173,TQ243771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7JZ,Yes,51.479645,-0.209955,524403,177151,TQ244771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7LA,Yes,51.480807,-0.208902,524473,177282,TQ244772,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001903
SW6 7LB,Yes,51.47976,-0.208064,524534,177167,TQ245771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7LD,Yes,51.479487,-0.208435,524509,177136,TQ245771,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001902
SW6 7LE,No,51.480042,-0.207103,524600,177200,TQ245771,"Munster","Hammersmith and Fulham, unparished area",1997-06-01,1999-12-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001901
SW6 7LF,No,51.480042,-0.207103,524600,177200,TQ245771,"Munster","Hammersmith and Fulham, unparished area",1992-01-01,1992-12-01,7,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001901
SW6 7LG,No,51.479214,-0.198235,525218,177123,TQ252771,"Town","Hammersmith and Fulham, unparished area",2001-12-01,2004-08-01,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001947
SW6 7LH,Yes,51.483947,-0.206633,524622,177635,TQ246776,"Fulham Broadway","Hammersmith and Fulham, unparished area",1997-06-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001885
SW6 7LJ,Yes,51.482504,-0.213363,524159,177463,TQ241774,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001903
SW6 7LL,Yes,51.482694,-0.212313,524231,177486,TQ242774,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001903
SW6 7LN,Yes,51.483267,-0.209223,524444,177555,TQ244775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LP,Yes,51.483323,-0.208155,524518,177563,TQ245775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LR,No,51.483377,-0.208196,524515,177569,TQ245775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,1999-12-01,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LS,Yes,51.483331,-0.207521,524562,177565,TQ245775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LT,Yes,51.482796,-0.208392,524503,177504,TQ245775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LU,Yes,51.482971,-0.208687,524482,177523,TQ244775,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LW,Yes,51.483686,-0.207781,524543,177604,TQ245776,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,5,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LX,Yes,51.482612,-0.210516,524356,177480,TQ243774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LY,Yes,51.482151,-0.207999,524532,177433,TQ245774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7LZ,Yes,51.481917,-0.20787,524542,177407,TQ245774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7NA,Yes,51.481823,-0.209467,524431,177394,TQ244773,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7NB,Yes,51.482297,-0.208094,524525,177449,TQ245774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7ND,Yes,51.482586,-0.208213,524516,177481,TQ245774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,6,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7NE,Yes,51.482223,-0.209754,524410,177438,TQ244774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7NF,Yes,51.482724,-0.210128,524383,177493,TQ243774,"Fulham Broadway","Hammersmith and Fulham, unparished area",1980-01-01,,8,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001879
SW6 7NG,Yes,51.481989,-0.210339,524370,177411,TQ243774,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,9,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001903
SW6 7NH,Yes,51.482436,-0.211839,524265,177458,TQ242774,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001903
SW6 7NJ,Yes,51.482217,-0.211698,524275,177434,TQ242774,"Munster","Hammersmith and Fulham, unparished area",1980-01-01,,7,England,2019-11-23,"Within the building of the matched address closest to the postcode mean",E01001903
SW6 7NL,No,51.481884,-0.209911,524400,177400,TQ243774,"Munster","Hammersmith and Fulham, unparished area",1985-04-01,1985-12-01,9,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001903
SW6 7NN,No,51.480985,-0.209946,524400,177300,TQ244772,"Munster","Hammersmith and Fulham, unparished area",1992-01-01,1994-12-01,8,England,2019-11-23,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01001903
